Roodlichtcamera's,,,,,,,
Provincie,Gemeente,Nr_1e_Weg,Kmpt_1ste_weg,Straatnaam_1e_weg,Nr_2e_Weg,Straatnaam_2e_weg,Aantal flitspalen
Vlaams-Brabant,Aarschot,N19,39.9,Herseltsesteenweg,,Oude Mechelse Baan,2
Vlaams-Brabant,Aarschot,N223,1.7,Rijksweg Aarschot-Tienen,,Rillaarsebaan,3
Vlaams-Brabant,Aarschot,R25,0,Ring,N223,Steenweg Sint-Joris-Winge,2
Vlaams-Brabant,Aarschot,R25,1.6,Ring,,Nieuwlandlaan,2
Vlaams-Brabant,Aarschot,R25,5.98,Oostelijke Ring/Gijmelsesteenweg,N19f,Langedorpsesteenweg,4
Vlaams-Brabant,Aarschot,R25,6.6,Ring,,Bekaflaan,2
Vlaams-Brabant,Asse,N9,8.4,Brusselsesteenweg,,Kortemansstraat / Crockaertstraat,2
Vlaams-Brabant,Asse,N9,8.9,Brusselsesteenweg,,Broekooi,2
Vlaams-Brabant,Asse,N9,13.4,Kalkovensteenweg,N285,Nieuwstraat / Prieelstraat,1
Vlaams-Brabant,Asse,N9,14.5,Gentsesteenweg/Nerviërsstraat,N47,Dendermondsesteenweg,2
Vlaams-Brabant,Asse,N9,16.5,Gentsesteenweg,,Kapellestraat,2
Vlaams-Brabant,Diest,R26,4.23,Citadellaan,N10,Diestsesteenweg,3
Vlaams-Brabant,Dilbeek,N8,0,,R0,,1
Vlaams-Brabant,Galmaarden,N255,7.09,Ninoofse Steenweg,N272,Repingenstraat / Lange Straat,4
Vlaams-Brabant,Gooik,N28,27.7,Ninoofsesteenweg,N285,Edingsesteenweg,4
Vlaams-Brabant,Gooik,N28,31.71,Stijland, -,Hoevestraat,2
Vlaams-Brabant,Grimbergen,N202,1.77,Hellebeekstraat / Brussels,,Spaanse Lindebaan / Grimbergsesteenweg,2
Vlaams-Brabant,Grimbergen,N211,6.84,Vilvoordsesteenweg,,Spaanse Lindenbaan / Priesterlindestraat,2
Vlaams-Brabant,Haacht,N21,26.318,,,Wijgmaalsesteenweg,2
Vlaams-Brabant,Halle,N203a,1.2,,N28,Nijvelsesteenweg,2
Vlaams-Brabant,Herent,N26,1.35,Mechelsesteenweg,,Bijlokstraat,2
Vlaams-Brabant,Herent,N26,1.75,,,Mechelsesteenweg,2
